categ_name,ac_group,ccy,group,TOTAL_AMOUNT,BANK_DATE,INT_RATE,diffs,groupwise_total,categwise_total,datewise_total
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2104624290,2018-11-03,0,,39681070236,2104624290,77912665693
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2104624290,2018-11-04,0,0.0,39797917236,2104624290,77977010989
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2104624290,2018-11-05,0,0.0,39605799775,2104624290,77951951880
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2104624290,2018-11-06,0,0.0,39685066336,2104624290,78165430308
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2101624290,2018-11-07,0,-3000000.0,39589733166,2101624290,78133777223
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2101624290,2018-11-08,0,0.0,39509732666,2101624290,78082860514
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2101624290,2018-11-09,0,0.0,39397176831,2101624290,78058049017
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2101624290,2018-11-10,0,0.0,39323224531,2101624290,77844623425
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2101624290,2018-11-11,0,0.0,39457257531,2101624290,77433450315
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2101124290,2018-11-12,0,-500000.0,39626774481,2101124290,77882990164
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2100624290,2018-11-13,0,-500000.0,39636196681,2100624290,78114906003
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2100624290,2018-11-14,0,0.0,39677834681,2100624290,78493156721
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2080624290,2018-11-15,0,-20000000.0,39752907180,2080624290,78517622829
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2080624290,2018-11-16,0,0.0,39687439881,2080624290,78941420026
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2076124290,2018-11-17,0,-4500000.0,39588661881,2076124290,78881888136
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2076124290,2018-11-18,0,0.0,39762101481,2076124290,79117405481
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2076124290,2018-11-19,0,0.0,39837987881,2076124290,79104023585
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2076124290,2018-11-20,0,0.0,39921769574,2076124290,79081883800
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2072324290,2018-11-21,0,-3800000.0,40388196549,2072324290,79305803658
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2072324290,2018-11-22,0,0.0,40679622199,2072324290,79570972083
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2072324290,2018-11-23,0,0.0,40880834199,2072324290,80032388660
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2072324290,2018-11-24,0,0.0,40827450199,2072324290,79997104089
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2072324290,2018-11-25,0,0.0,40950938599,2072324290,79950372128
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2052324290,2018-11-26,0,-20000000.0,40983260599,2052324290,79605734814
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2052324290,2018-11-27,0,0.0,41009257750,2052324290,79644918795
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2052324290,2018-11-28,0,0.0,41029809950,2052324290,79583445429
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2052324290,2018-11-29,0,0.0,41043279250,2052324290,79606076246
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2050324290,2018-11-30,0,-2000000.0,40762353250,2050324290,79410189108
1 YEAR FD WITH MONTHLY INT,0,NPR,FIXED DEPOSIT,2050324290,2018-12-01,0,0.0,40692416250,2050324290,79386819692
1 YEAR'S & ABOVE FIXED DEPOSIT,0,USD,FIXED DEPOSIT,46480000,2018-11-03,0,,1848021560,12326119288,77912665693
1 YEAR'S & ABOVE FIXED DEPOSIT,0,NPR,FIXED DEPOSIT,12279639288,2018-11-03,0,,39681070236,12326119288,77912665693
1 YEAR'S & ABOVE FIXED DEPOSIT,0,NPR,FIXED DEPOSIT,12286787288,2018-11-04,0,7148000.0,39797917236,12333147288,77977010989
1 YEAR'S & ABOVE FIXED DEPOSIT,0,USD,FIXED DEPOSIT,46360000,2018-11-04,0,-120000.0,1843250420,12333147288,77977010989
1 YEAR'S & ABOVE FIXED DEPOSIT,0,USD,FIXED DEPOSIT,46780000,2018-11-05,0,420000.0,1976899410,12338422288,77951951880
1 YEAR'S & ABOVE FIXED DEPOSIT,0,NPR,FIXED DEPOSIT,12291642288,2018-11-05,0,4855000.0,39605799775,12338422288,77951951880
1 YEAR'S & ABOVE FIXED DEPOSIT,0,USD,FIXED DEPOSIT,46720000,2018-11-06,0,-60000.0,1974363840,12341052288,78165430308
1 YEAR'S & ABOVE FIXED DEPOSIT,0,NPR,FIXED DEPOSIT,12294332288,2018-11-06,0,2690000.0,39685066336,12341052288,78165430308
1 YEAR'S & ABOVE FIXED DEPOSIT,0,USD,FIXED DEPOSIT,46720000,2018-11-07,0,0.0,1974363840,12337247288,78133777223
1 YEAR'S & ABOVE FIXED DEPOSIT,0,NPR,FIXED DEPOSIT,12290527288,2018-11-07,0,-3805000.0,39589733166,12337247288,78133777223
1 YEAR'S & ABOVE FIXED DEPOSIT,0,USD,FIXED DEPOSIT,46720000,2018-11-08,0,0.0,1974363840,12328447288,78082860514
1 YEAR'S & ABOVE FIXED DEPOSIT,0,NPR,FIXED DEPOSIT,12281727288,2018-11-08,0,-8800000.0,39509732666,12328447288,78082860514
